district,min_similarity,max_similarity,similarity_range,most_similar
CA-10,0.04873410605486424,0.13231348743735308,0.08357938138248884,TX-27,CA-08,FL-09,NV-04,CA-23,FL-05,NM-02,NC-01,CA-36,CA-20,TX-05,CA-09,CA-22,GA-02,WA-04,TX-14,VA-04,TX-19,IN-07,SC-06,TX-11,GA-12
CA-11,0.07176961632460481,0.13324920885871508,0.06147959253411027,WA-09,TX-02,CA-30,TX-24,GA-07,TX-22,NJ-12,CA-07,FL-23,CA-05,TX-32,TX-07,CA-26,CA-28,MD-05,CA-48,CA-53,IL-10,TX-10,MD-03,NV-03,CA-14
CA-12,0.24608658165710426,0.31484919243965154,0.06876261078254728,CA-13,VA-08,TX-07,CA-30,VA-11,CA-53,CA-48,NY-16,WA-09,CA-14,TX-24,TX-32,CA-39,MA-07,FL-23,NY-04,CA-45,IL-09,CA-11,NY-06,TX-02,TX-22
CA-13,0.0730259944320897,0.1760709280516975,0.1030449336196078,CA-53,CA-39,TX-07,NY-16,NC-12,FL-23,WA-09,CA-47,CA-14,GA-05,CA-27,GA-07,IL-07,TX-32,MD-07,CA-30,TX-02,CA-15,TX-24,CA-11,TX-22,IL-01
CA-14,0.04453105393242249,0.19454620531989025,0.15001515138746777,CA-15,CA-39,TX-22,CA-11,CA-17,TX-07,CA-27,CA-13,CA-53,VA-11,MD-05,WA-09,CA-26,NJ-12,TX-02,FL-23,GA-07,CA-30,CA-25,TX-24,CA-19,MD-04
CA-15,0.04453105393242249,0.19296517305180022,0.14843411911937773,CA-14,CA-39,TX-22,CA-17,CA-27,CA-11,MD-05,CA-26,CA-53,TX-07,NJ-12,CA-19,VA-11,CA-25,CA-13,TX-02,WA-09,GA-07,MD-04,HI-02,CA-42,FL-23
CA-16,0.06735341163750767,0.1778961689387858,0.11054275730127812,AZ-07,TX-28,TX-15,TX-34,TX-35,CA-51,AZ-03,CA-41,TX-23,TX-18,CA-35,TX-30,CA-21,CA-29,FL-20,MS-02,LA-02,FL-25,NV-01,AL-07,SC-06,MI-13
CA-17,0.1396244946667003,0.29858781523575273,0.15896332056905244,CA-14,CA-15,CA-39,TX-22,HI-01,VA-11,CA-27,CA-13,TX-07,CA-19,CA-53,MD-04,CA-11,VA-08,HI-02,WA-09,CA-45,CA-47,MD-05,CA-26,TX-02,TX-24
CA-18,0.08680289343610105,0.23823517495960486,0.1514322815235038,CA-45,VA-10,VA-08,TX-03,CA-52,CA-33,GA-06,VA-11,MD-08,CA-48,CA-49,NY-03,TX-26,CT-04,NJ-07,TX-22,MD-03,NC-04,WA-07,CA-11,IL-06,CO-06
CA-19,0.04687646470474223,0.1925959374345163,0.1457194727297741,MD-04,HI-02,CA-47,CA-27,GA-13,MD-07,HI-01,GA-04,CA-31,CA-39,CA-15,CA-20,IL-02,CA-09,CA-25,GA-05,IL-01,CA-42,CA-26,FL-27,CA-14,TX-20
CA-20,0.0415831120598209,0.12134363397678703,0.07976052191696614,CA-09,CA-22,FL-10,NM-03,VA-03,TX-27,CA-23,CA-10,NV-04,FL-09,NM-02,CA-42,CA-06,CA-08,MD-07,NC-01,IL-01,CA-36,FL-05,CA-25,GA-13,CA-31
