district,min_similarity,max_similarity,similarity_range,most_similar
CA-24,0.10382177035670308,0.3065000163132133,0.20267824595651018,WA-01,CA-52,CA-09,IL-08,CA-16,MD-06,CA-26,CA-07,CA-03,IL-10,CO-07,CT-04,FL-09,IL-11,FL-22,WA-10,TX-15,CO-02,AZ-09,MO-05,FL-26,NV-04,CT-05,NH-02,CA-36
CA-25,0.23911285123347095,0.49921202471995807,0.26009917348648715,KS-03,FL-13,TX-32,FL-27,VA-10,NC-09,FL-15,CA-31,NJ-07,CA-49,MI-08,MN-03,NJ-05,CO-06,CA-10,TX-21,WA-08,NJ-11,NV-03,CA-48,FL-07,IA-03,OH-01,CA-21,MI-11
CA-26,0.1118953082126324,0.293352569445028,0.18145726123239564,CA-52,CT-04,IL-08,IL-11,CA-09,CA-03,CA-16,AZ-09,WA-01,CA-24,MD-06,FL-22,CO-02,TX-15,WA-10,CO-07,FL-09,MO-05,CA-36,IL-10,NM-01,CA-47,WA-02,CA-41,OR-01
CA-27,0.06866236232463903,0.30705900084511456,0.23839663852047555,CA-53,CA-38,MD-08,TX-35,MD-03,NJ-12,CA-41,IL-09,CA-47,MD-05,NV-01,OH-03,MN-04,WI-02,MD-02,RI-01,IL-05,FL-05,MI-12,NJ-01,WA-02,IN-07,CT-01,TX-34,MA-03
CA-28,0.09628442241608975,0.35669708437272096,0.2604126619566312,CA-05,TX-33,OR-03,GA-04,CA-20,WI-04,CA-15,CA-19,CA-14,CA-06,SC-06,TX-09,MD-07,NJ-08,CA-02,TX-18,TX-30,MN-05,MD-04,AZ-07,MO-01,TN-09,NY-10,WA-09,CA-51
CA-29,0.24740045978130293,0.5602973853231872,0.31289692554188425,CA-17,NY-16,NY-10,NY-14,CA-34,AZ-07,NY-12,CA-35,MO-01,WI-04,TX-30,OR-03,TX-09,TX-18,MD-07,NY-09,NJ-08,MI-14,MD-04,MN-05,TX-33,GA-04,MA-05,CA-43,TN-09
CA-30,0.13090584402539113,0.3841041265073834,0.2531982824819923,CA-15,CA-33,TX-16,CA-19,MS-02,CA-20,CA-05,CA-32,IL-05,NY-06,CO-01,OH-03,TX-33,CA-11,CA-46,WA-09,CA-51,VA-08,SC-06,CA-06,NC-01,MD-05,CA-38,CA-28,WI-02
CA-31,0.4091326748439923,0.6021966705321442,0.1930639956881519,FL-13,CA-25,VA-04,FL-27,CA-52,IL-10,AZ-09,CA-26,IL-08,WA-01,CA-09,CA-24,CO-07,CA-03,FL-22,CT-05,CA-16,CA-07,CO-02,CA-21,VA-10,NV-04,CT-04,IL-11,CO-06
CA-32,0.12182259899132011,0.4470619224447549,0.32523932345343476,CA-46,CA-33,VA-11,CA-30,MS-02,TX-16,AZ-03,CA-15,MN-04,TX-35,MD-08,NJ-12,OH-03,FL-05,NY-06,IL-09,MD-03,MD-05,VT-00,CT-01,WI-02,IL-05,NJ-01,MD-02,MI-12
CA-33,0.2327230596653456,0.43101768597703743,0.19829462631169184,CA-46,CA-30,TX-16,CA-32,VA-11,MA-04,MS-02,CA-15,MD-03,MD-08,CA-38,CA-27,AZ-03,TX-35,MD-05,NJ-12,IL-05,OH-03,IL-09,CA-53,NY-06,MN-04,FL-05,NV-01,CT-01
