district,min_similarity,max_similarity,similarity_range,most_similar ⬅
CA-09,0.045611840567992945,0.17422936032712735,0.1286175197591344,CA-16,IL-08,WA-01,IL-11,CA-03,MD-06,CA-26,CA-24,WA-10,CA-52,FL-22,CO-07,CT-04,MO-05,TX-15,FL-09,CO-02,AZ-09,IL-10,IN-07,GA-02,CA-36
CA-10,0.10966699594682078,0.19205703579926464,0.08239003985244386,MN-02,NJ-05,VA-10,TX-23,CO-06,CA-49,NV-03,NJ-07,CA-07,AZ-02,IA-03,NE-02,MI-11,NV-04,MN-03,IA-01,NH-01,FL-07,NC-13,CA-21,IL-13,AZ-01
CA-11,0.03780648092589412,0.20479899902099122,0.1669925180950971,CA-51,CA-18,WA-09,CO-01,VA-08,IL-05,CA-06,IL-09,OH-03,WI-02,CA-02,CA-38,NC-01,NC-04,MN-05,TX-18,IL-01,NJ-09,MD-05,MD-07,NC-12,CA-27
CA-12,0.08946717449713054,0.3078520469519409,0.21838487245481036,IL-07,GA-05,NJ-10,IL-04,CA-13,FL-20,OH-11,NY-05,WA-07,CA-37,TX-09,TX-30,MI-13,NY-07,MI-14,NY-08,NY-09,NY-13,MA-07,MO-01,NY-12,NY-15
CA-13,0.1486736232490485,0.4321432762984981,0.2834696530494496,NJ-10,IL-07,CA-12,GA-05,NY-15,NY-05,NY-13,NY-07,MA-07,CA-37,NY-08,IL-04,FL-20,OH-11,MI-13,NY-09,WA-07,TX-09,TX-30,MI-14,CA-14,NY-12
CA-14,0.0734325881336073,0.23009858756628648,0.15666599943267917,TN-09,NJ-08,MI-14,MO-01,MD-07,TX-18,MD-04,IL-02,TX-09,IL-01,TX-30,CA-02,MI-13,CA-28,MN-05,CA-06,FL-20,GA-04,OH-11,NY-12,OR-03,CA-05
CA-15,0.08540117095215974,0.24129633233847544,0.1558951613863157,CA-30,CA-19,CA-20,CA-05,TX-33,WI-04,TX-16,CA-28,OR-03,SC-06,CA-06,MS-02,WA-09,CO-01,CA-51,CA-43,GA-04,CA-11,IL-05,CA-33,NC-01,CA-02
CA-16,0.045611840567992945,0.17876409035373972,0.13315224978574677,CA-09,IL-11,IL-08,CA-26,MD-06,CT-04,CA-24,CA-52,MO-05,CA-03,CO-02,TX-15,WA-01,WA-10,FL-22,FL-09,CO-07,IN-07,IL-10,AZ-09,CA-47,TX-34
CA-17,0.14731954215242457,0.35866017865104566,0.2113406364986211,CA-35,CA-29,NY-16,AZ-07,MA-05,NY-10,NY-14,OR-03,TX-29,WI-04,CA-19,NY-12,TX-33,CA-20,CA-28,CA-15,CA-05,CA-34,TX-18,CA-43,MN-05,MO-01
CA-18,0.05056520542823889,0.2301999022588846,0.1796346968306457,CA-11,CA-51,VA-08,WA-09,CO-01,IL-05,IL-09,CA-06,MN-05,OH-03,TX-18,CA-02,WI-02,IL-01,MD-07,NC-04,CA-38,NC-01,MD-04,NC-12,NJ-09,MD-05
